pain_location,pain_type,pain_intensity,nausea,light_sensitivity,eye_pain,neck_pain,stress,duration_hours,headache_type,Remedies,Precautions
left-side,throbbing,severe,1,1,0,0,1,6,Migraine,"Rest in a dark, silent room. Apply cold compress on forehead/neck. Stay hydrated with water/electrolytes. Take prescribed triptan/NSAID if available. Practice slow breathing.","Avoid bright lights and loud noises. Do not skip meals. Limit screen time. Identify triggers like caffeine, stress, lack of sleep. Seek help if worsens or >72 hours."
right-side,throbbing,severe,1,1,0,0,1,6,Migraine,"Rest in a dark, silent room. Apply cold compress on forehead/neck. Stay hydrated with water/electrolytes. Take prescribed triptan/NSAID if available. Practice slow breathing.","Avoid bright lights and loud noises. Do not skip meals. Limit screen time. Identify triggers like caffeine, stress, lack of sleep. Seek help if worsens or >72 hours."
temples,pulsating,moderate,1,1,0,1,1,8,Migraine,"Lie down in a dark, quiet room. Cold compress on temples. Sip water slowly. Take OTC ibuprofen/paracetamol if safe. Gentle temple massage.","Avoid caffeine, alcohol, artificial sweeteners. Do not strain eyes. Take 5-min screen breaks. Consult doctor if >4 migraines/month."
one-sided,pulsating,severe,1,1,0,0,1,9,Migraine,"Dark quiet room. Cold compress. Hydrate. Take prescribed migraine medication. Rest 1-2 hours.","No screen time. Avoid perfume and smoke. Do not drive. Seek emergency if worst headache ever."
one-sided,throbbing,moderate,1,1,0,0,1,7,Migraine,"Dark room rest. Cold compress. Hydrate with electrolytes. OTC pain reliever. Scalp massage. Use blue-light filter on screens.","Avoid delayed meals and dehydration. No loud music or flashing lights. Do not drive during aura. Limit phone use."
both-sides,dull,moderate,0,0,0,1,1,5,Tension,"Apply warm compress on neck and shoulders. Gentle neck rolls (5 reps). Deep breathing for 5 minutes. Maintain upright posture. OTC pain reliever if needed.","Take 5-min break every hour from screens. Avoid jaw clenching. Do not work in poor lighting. Stretch every 30 minutes. See doctor if >7 days."
both-sides,pressing,mild,0,0,0,1,1,4,Tension,"Warm compress. Neck stretches (ear-to-shoulder). Relaxation breathing (4-4-6). Hydrate. Correct sitting posture.","Avoid prolonged sitting. Do not skip sleep. Reduce caffeine gradually. Avoid stressful conversations. Seek evaluation if daily."
temples,pressure,moderate,0,0,0,1,1,6,Tension,"Warm compress to temples and neck. Shoulder rolls. Deep breathing. OTC pain reliever if needed. Stretch every hour.","Avoid teeth clenching. Reduce screen brightness. Do not hunch over phone. Take breaks from reading."
whole-head,tightening,mild,0,0,0,1,1,3,Tension,"Apply warm pack to back of neck. Gentle neck stretches. Hydrate. Relax in quiet room for 15 minutes. Correct posture.","Avoid loud environments. Do not skip meals. Reduce stress triggers. If daily, see doctor."
around-eye,sharp,severe,0,1,1,0,0,2,Cluster,"Sit upright. Apply cold compress to eye area. Breathe oxygen if prescribed. Use triptan injection or nasal spray. Stay still in dark room.","Do not lie down. Avoid alcohol during cluster. OTC painkillers are ineffective. Seek emergency if first episode."
one-sided,stabbing,severe,0,1,1,0,0,1,Cluster,"Stand or sit upright. Cold compress over eye or cheek. Oxygen if available. Take prescribed acute medication. Pace slowly if restless.","No alcohol during entire cluster period. Do not take sleeping pills. Avoid high altitudes. Seek emergency if uncontrolled."
around-eye,burning,severe,0,1,1,0,0,3,Cluster,"Apply cold compress. Sit in a chair, lean forward. Breathe deeply but calmly. Use prescribed nasal spray.","Do not consume alcohol or nitrates. Avoid strong perfumes. See doctor for preventive medication. Do not drive during attack."
sinus-area,pressure,moderate,0,0,1,0,0,10,Sinus,"Use saline spray or rinse. Apply warm compress on forehead and cheeks. Steam inhalation 5-10 minutes. Hydrate. Sleep with head elevated.","Avoid flying or diving. Do not use decongestants for more than 3 days. Avoid dry air. See doctor if fever >101°F or >7 days."
forehead,pressure,mild,0,0,1,0,0,8,Sinus,"Warm compress. Steam inhalation. Saline spray. Drink warm fluids like tea or broth. Rest with head elevated.","Avoid bending forward rapidly. Do not smoke. Avoid cold drinks. Check for allergies."
sinus-area,dull,moderate,0,0,1,0,0,12,Sinus,"Nasal rinse with distilled water. Warm compress every 2 hours. Stay upright. Use humidifier at night.","Do not use steroid sprays without prescription. Avoid alcohol. See ENT if recurrent."
back-of-head,dull,moderate,0,0,0,1,1,6,Cervicogenic,"Apply ice or warm pack to base of skull and upper neck for 10 minutes. Chin tucks. Neck retraction exercises. Use cervical pillow.","Avoid looking up or down for long periods. Do not carry heavy bags on one shoulder. Do not crack neck forcefully. See PT if chronic."
neck-to-head,aching,moderate,0,0,0,1,1,5,Cervicogenic,"Neck stretches: side bending and rotation (hold 15 seconds). Heat pack. Keep screen at eye level. Frequent stretch breaks.","Avoid sudden jerky neck movements. Do not sleep on stomach. Limit phone use looking down. Seek help if numbness or tingling."
back-of-head,sharp,moderate,0,0,0,1,1,4,Cervicogenic,"Ice pack first for 10 minutes, then heat. Gentle isometric neck exercises. Maintain neutral spine while sitting.","Avoid heavy lifting. Do not twist neck quickly. No high-impact exercise. See doctor if dizziness."
whole-head,throbbing,mild,0,0,0,0,0,3,Cold,"Take steam inhalation with eucalyptus oil 3 times daily. Drink warm fluids like ginger tea, honey lemon, and soups. Use saline nasal spray. Rest with head elevated. Take OTC decongestant or cold medication.","Avoid cold drinks and ice cream. Do not blow nose forcefully. Wash hands frequently. Stay home to avoid spreading. See doctor if >10 days or green discharge."
forehead,pressure,mild,0,0,0,0,0,2,Cold,"Rest at home. Drink warm water. Take OTC cold medication. Use humidifier. Eat light nutritious food. Take vitamin C supplements.","Avoid dairy if mucus increases. Do not share towels or utensils. Get flu vaccine annually. Cover mouth while coughing."
sinus-area,pressure,moderate,0,0,0,0,0,5,Cold,"Warm compress on face. Steam inhalation. Drink warm soups. Use nasal drops if prescribed. Gargle with warm salt water. Drink honey with warm water.","Avoid AC and fans directly. Do not smoke. Cover mouth while coughing. See doctor if >10 days or green discharge."
whole-head,throbbing,severe,0,0,0,0,0,4,Cough,"Take cough syrup as prescribed. Drink warm water with honey and ginger. Use lozenges for throat. Rest in upright position. Steam inhalation. Take OTC expectorant.","Avoid cold food and drinks. Do not suppress cough forcefully. Cover mouth while coughing. See doctor if cough >2 weeks or blood in sputum."
whole-head,dull,moderate,0,0,0,0,0,3,Cough,"Warm saline gargle 3 times daily. Drink ginger tea with honey. Use cough drops. Rest. Keep room humidified. Take OTC cough suppressant.","Avoid smoke and dust. Do not eat fried food. Sleep with head elevated. Seek medical if breathing difficulty. Avoid cold drinks."
forehead,pressing,mild,0,0,0,0,0,2,Cough,"Honey with warm water and turmeric. Steam inhalation. Rest. Take OTC cough suppressant. Stay hydrated. Use throat lozenges.","Avoid cold beverages. Do not overuse cough syrups. See doctor if fever with cough. Avoid spicy food."
whole-head,throbbing,severe,1,0,0,0,0,5,Sore Throat,"Gargle with warm salt water 3-4 times daily. Drink warm honey lemon water. Take lozenges. Rest voice. Take OTC pain reliever. Drink warm soups.","Avoid spicy and acidic food. Do not whisper. Stay hydrated. See doctor if difficulty swallowing or fever >101°F."
neck-to-head,dull,moderate,0,0,0,0,0,3,Sore Throat,"Drink warm liquids like soup and tea. Salt water gargle. Rest. Use throat spray if needed. Take paracetamol. Use humidifier.","Avoid cold drinks. Do not smoke. Use humidifier. Seek care if tonsils swollen or white patches. Avoid dry food."
forehead,pressure,mild,0,0,0,0,0,2,Sore Throat,"Warm water with honey and lemon. Lozenges. Gargle. Rest voice. Stay hydrated. Take OTC pain reliever.","Do not eat dry food. Avoid shouting. See doctor if >5 days. Avoid cold drinks."
whole-head,throbbing,severe,1,1,0,0,0,6,Fever,"Take paracetamol or ibuprofen for fever. Apply cold compress on forehead. Rest in cool room. Drink plenty of fluids. Sponge bath with lukewarm water. Monitor temperature.","Monitor temperature every 4 hours. Do not use cold water bath. Avoid crowded places. Seek doctor if fever >103°F or >3 days."
whole-head,dull,moderate,0,0,0,0,0,4,Fever,"Rest in bed. Take fever-reducing medication. Drink warm fluids. Use light blanket. Keep room ventilated. Eat light food.","Do not overdress. Avoid alcohol. Do not skip meals. See doctor if fever with rash or stiff neck."
whole-head,throbbing,mild,0,0,0,0,0,2,Fever,"Stay hydrated. Take OTC paracetamol. Rest. Use cool compress. Light diet (soup, khichdi). Monitor temperature.","Avoid spicy food. Do not give aspirin to children. Monitor for dehydration. Seek care if fever >104°F."
whole-head,throbbing,severe,1,1,0,0,0,5,Flu,"Take antiviral if prescribed. Rest in bed. Drink ORS and fluids. Take paracetamol or ibuprofen. Use warm compress. Sponge bath for fever.","Avoid going out. Do not share utensils. Get flu shot yearly. See doctor if breathing difficulty or confusion. Rest completely."
whole-head,dull,moderate,1,0,0,0,0,3,Flu,"Rest. Hydrate with warm fluids. Take OTC medication. Use humidifier. Eat light meals. Take vitamin C supplements.","Avoid alcohol and caffeine. Do not overexert. Monitor fever. Seek care if persistent vomiting. Get plenty of sleep."
forehead,pressure,moderate,0,0,0,0,0,2,Flu,"Warm fluids. Steam inhalation. Rest. Take medication for symptoms. Use warm compress. Take OTC pain reliever.","Avoid crowded places. Cover cough. Wash hands. See doctor if symptoms worsen. Stay hydrated."
whole-head,throbbing,severe,1,1,0,0,0,7,Flu,"Take antiviral medication. Rest completely in bed. Drink ORS and fluids. Take paracetamol for fever. Use warm compress. Gargle with salt water.","Do not go out. Do not share utensils. Get flu shot annually. See doctor immediately if breathing difficulty or confusion."
whole-head,throbbing,severe,1,0,0,0,0,3,Stomach Flu,"Rest. Hydrate with ORS. Take anti-nausea medication. Eat bland food (rice, banana, toast). Avoid dairy and spicy food. Sip fluids slowly.","Do not eat heavy meals. Avoid sugary drinks. Wash hands frequently. See doctor if >3 days or blood in stool. Stay hydrated."
whole-head,dull,moderate,1,0,0,0,0,2,Stomach Flu,"Clear fluids (water, broth). Small frequent meals. Rest. Take OTC anti-diarrheal if needed. Oral rehydration solution. Eat BRAT diet.","Avoid fried food. Do not self-medicate antibiotics. Stay hydrated. Seek care if severe dehydration. Avoid milk products."
forehead,pressure,mild,0,0,0,0,0,2,Stomach Flu,"BRAT diet (banana, rice, apple sauce, toast). Hydrate. Rest. Avoid milk products. Drink ORS.","Do not eat raw food. Wash hands. Avoid close contact. See doctor if fever >101°F. Avoid sugary drinks."
whole-head,throbbing,severe,1,0,0,0,1,4,Allergy,"Take antihistamine. Use nasal spray. Avoid allergens. Use cold compress. Stay indoors with windows closed. Use air purifier.","Identify allergy triggers. Avoid outdoor activities in high pollen. Use air purifier. See doctor for allergy testing. Keep windows closed."
forehead,pressure,moderate,0,0,0,0,0,3,Allergy,"Saline nasal rinse. Antihistamine. Use HEPA filter. Shower after outdoor exposure. Wash bedding weekly. Use hypoallergenic products.","Avoid dusty areas. Do not rub eyes. Keep windows closed. See allergist if persistent. Avoid pets if allergic."
sinus-area,pressure,mild,0,0,0,0,0,2,Allergy,"Neti pot rinse. Steam inhalation. Take prescribed allergy medication. Use hypoallergenic pillow covers. Keep indoor humidity 40-50%.","Avoid pets if allergic. Do not use scented products. Keep indoor humidity 40-50%. Consult doctor for immunotherapy. Avoid outdoor allergens."
whole-head,dull,moderate,1,0,0,0,0,4,Anemia,"Eat iron-rich foods (spinach, dates, jaggery, beetroot). Take iron supplements as prescribed. Vitamin C enhances iron absorption. Rest. Stay hydrated.","Do not drink tea or coffee immediately after meals. Get HB checked regularly. Eat small frequent meals. See doctor if HB <7. Avoid calcium with iron."
whole-head,pulsating,moderate,1,0,0,0,0,3,Anemia,"Include leafy greens, pomegranate, and beetroot in daily diet. Take folic acid supplements. Rest. Avoid heavy exercise. Eat vitamin C rich fruits.","Avoid calcium supplements with iron. Do not skip meals. Monitor HB levels monthly. Seek care if dizziness or fainting. Eat iron-rich foods."
forehead,dull,mild,0,0,0,0,0,2,Anemia,"Eat iron-rich food (jaggery, dates). Take Vitamin C (lemon, orange). Rest. Avoid heavy exercise. Stay hydrated. Eat green leafy vegetables.","Do not take iron on empty stomach. Avoid antacids with iron. Check HB regularly. Eat balanced diet."
whole-head,throbbing,moderate,1,0,0,0,1,3,Acidity,"Take antacid. Drink cold milk. Eat small frequent meals. Avoid spicy and oily food. Sleep with head elevated. Stay away from caffeine and alcohol.","Do not lie down immediately after eating. Avoid coffee, alcohol, and smoking. Manage stress. Eat at least 2 hours before sleeping."
forehead,pressure,mild,0,0,0,0,1,2,Acidity,"Drink coconut water. Take OTC antacid. Eat banana. Avoid citrus fruits on empty stomach. Stay upright after meals. Drink cold milk.","Avoid fried foods. Do not wear tight clothes. Reduce stress. Avoid late night eating. Eat small meals."
sinus-area,pressure,moderate,1,0,0,0,1,3,Acidity,"Take antacid syrup. Drink cold milk with honey. Eat light dinner. Avoid late night eating. Stay upright after meals. Avoid spicy food.","Do not eat spicy food. Avoid carbonated drinks. Sleep on left side. Avoid smoking and alcohol. Eat small meals."
whole-head,dull,severe,1,0,0,0,0,2,Gas,"Take digestive enzymes. Drink warm water with cumin seeds. Walk slowly for 10 minutes after meals. Eat light meals. Avoid gas-forming foods like beans and cabbage.","Do not eat heavy meals. Avoid lying down immediately after food. Chew food properly. Avoid carbonated drinks. Exercise regularly."
forehead,pressure,moderate,0,0,0,0,0,2,Gas,"Drink ginger tea or fennel tea. Take OTC digestive aids. Use hot water bag on stomach. Eat small frequent meals. Walk after meals.","Avoid cold drinks with meals. Do not overeat. Avoid processed food. Exercise regularly. Eat slowly."
whole-head,dull,mild,0,0,0,0,0,2,Gas,"Chew fennel seeds after meals. Drink warm water. Light walk. Avoid carbonated drinks and beans. Eat small meals.","Do not skip meals. Avoid stress. Eat at regular times. Avoid drinking water immediately after meals. Exercise daily."
whole-head,dull,moderate,1,0,0,0,1,3,Constipation,"Drink 8-10 glasses of warm water daily. Eat high fiber foods (fruits, vegetables, whole grains). Take psyllium husk. Exercise 30 minutes daily. Include prunes and figs.","Avoid processed foods. Do not ignore urge to defecate. Avoid excessive laxatives. Eat meals at regular times. Reduce dairy if causing issues."
whole-head,dull,moderate,1,0,0,1,1,2,Constipation,"Drink warm lemon water in morning. Add ghee to meals. Eat soaked raisins and figs. Abdominal massage. Take stool softeners if needed.","Do not delay bowel movement. Avoid straining. Limit cheese and processed foods. Drink water throughout the day. Exercise daily."
whole-head,dull,mild,0,0,0,0,0,2,Constipation,"Eat high-fiber breakfast (oatmeal). Drink prune juice daily. Take psyllium husk. Walk after meals. Eat raw vegetables and fruits.","Avoid white bread and refined flour. Do not use laxatives regularly. Establish regular toilet routine. Drink room temperature water."
whole-head,throbbing,severe,1,0,0,0,1,3,Piles,"Take warm sitz bath 3 times daily for 15 minutes. Apply ice pack. Take stool softeners. Eat high-fiber diet. Drink 8-10 glasses water. Apply OTC hemorrhoid cream.","Avoid sitting for long periods. Do not strain. Avoid spicy and oily food. Do not delay bowel movement. Avoid heavy lifting."
whole-head,dull,moderate,1,0,0,0,1,2,Piles,"Use psyllium husk. Apply aloe vera gel. Take warm water baths. Eat cooked vegetables and fruits. Drink plenty fluids. Use stool softeners.","Avoid constipation triggers. Do not sit on hard surfaces. Avoid reading on toilet. Reduce caffeine and alcohol. Exercise regularly."
whole-head,dull,mild,0,0,0,0,1,2,Piles,"Eat fiber-rich diet (bran, oats). Drink psyllium husk. Use stool softeners. Take sitz bath daily. Stay hydrated. Eat leafy green vegetables.","Avoid processed food. Do not delay bowel movement. Avoid spicy and fried food. Do not strain. Consult doctor if bleeding."
whole-head,throbbing,severe,1,1,0,0,0,3,Periods,"Take ibuprofen or paracetamol. Apply heating pad on lower abdomen. Rest. Drink warm fluids (ginger tea). Light walking. Eat iron-rich foods.","Avoid cold drinks. Do not skip meals. Reduce caffeine and salt. Avoid heavy exercise. Get adequate sleep. See doctor if severe pain."
whole-head,dull,moderate,1,1,0,0,0,2,Periods,"Use heat therapy on abdomen. Take OTC pain reliever. Gentle yoga stretches. Drink warm ginger tea. Eat iron-rich foods (dates, spinach).","Avoid overexertion. Do not consume cold items. Eat small frequent meals. Stay hydrated. Avoid stress. See doctor if irregular."
forehead,pressing,mild,0,0,0,0,0,2,Periods,"Apply warm compress on lower abdomen. Rest with legs elevated. Take pain reliever if needed. Drink warm water. Light walking.","Avoid spicy and oily food. Reduce salt intake. Use heating pad. Avoid strenuous activities. See doctor if severe PMS."
whole-head,throbbing,severe,0,0,0,0,0,3,Dehydration,"Drink ORS or water immediately. Rest in cool place. Apply cold compress. Sip fluids slowly. Avoid caffeine and alcohol.","Do not ignore thirst. Avoid outdoor activities in heat. Drink water regularly. Seek care if dizziness."
forehead,dull,moderate,0,0,0,0,0,2,Dehydration,"Sip water or ORS. Rest. Eat water-rich fruits (watermelon). Use electrolyte drinks. Avoid direct sun.","Avoid direct sun. Do not heavy exercise. Drink water every hour. Monitor urine color."
whole-head,dull,mild,0,0,0,0,0,1,Dehydration,"Drink plenty of water. Rest. Have lemon water. Eat juicy fruits. Stay in cool place.","Do not skip water. Avoid salty food. Monitor urine color. Drink water regularly."
whole-head,dull,moderate,0,0,0,0,1,3,Stress,"Deep breathing exercises. Take a break. Walk in nature. Listen to calming music. Practice mindfulness.","Avoid overthinking. Take regular breaks. Exercise daily. Seek help if persistent. Reduce screen time."
whole-head,pressing,mild,0,0,0,0,1,2,Stress,"Relaxation techniques. Talk to someone. Deep breathing. Light exercise. Take a walk.","Do not isolate. Avoid caffeine and nicotine. Practice gratitude. See counselor if needed. Sleep well."
forehead,pressure,moderate,0,0,0,0,1,2,Stress,"Meditate 5-10 minutes. Journal thoughts. Take a walk. Practice progressive muscle relaxation.","Avoid excessive screen time. Do not suppress emotions. Seek professional help if needed. Exercise daily."
whole-head,throbbing,severe,0,0,1,0,0,2,Eye Infection,"Apply warm compress on eye. Use antibiotic eye drops if prescribed. Avoid touching eyes. Wash hands frequently. Rest eyes.","Do not share towels or eye drops. Avoid rubbing eyes. See doctor if vision changes or pain increases."
whole-head,dull,moderate,0,0,1,0,0,3,Eye Infection,"Warm compress. Antibiotic eye drops. Avoid eye strain. Rest. Use artificial tears if needed.","Do not wear contact lenses. Avoid touching eyes. See doctor if redness or discharge persists."